,index data,L_GRF_FWD,L_GRF_LAT,L_GRF_VRT,R_GRF_FWD,R_GRF_LAT,R_GRF_VRT
1893,1893,0.0,0.0,0.0,0.0,0.0,0.0
1894,1894,0.0,0.0,0.0,0.0,0.0,0.0
1895,1895,0.0,0.0,0.0,0.0,0.0,0.0
1896,1896,0.0,0.0,0.0,0.0,0.0,0.0
1897,1897,0.0,0.0,0.0,0.0,0.0,0.0
1898,1898,0.0,0.0,0.0,0.0,0.0,0.0
1899,1899,0.0,0.0,0.0,0.0,0.0,0.0
1900,1900,0.0,0.0,0.0,0.0,0.0,0.0
1901,1901,0.0,0.0,0.0,0.0,0.0,0.0
1902,1902,0.0,0.0,0.0,0.0,0.0,0.0
1903,1903,0.0,0.0,0.0,0.0,0.0,0.0
1904,1904,0.0,0.0,0.0,0.0,0.0,0.0
1905,1905,0.0,0.0,0.0,0.0,0.0,0.0
1906,1906,0.0,0.0,0.0,0.0,0.0,0.0
1907,1907,0.0,0.0,0.0,0.0,0.0,0.0
1908,1908,0.0,0.0,0.0,0.0,0.0,0.0
1909,1909,0.0,0.0,0.0,0.0,0.0,0.0
1910,1910,0.0,0.0,0.0,0.0,0.0,0.0
1911,1911,0.0,0.0,0.0,0.0,0.0,0.0
1912,1912,0.0,0.0,0.0,0.0,0.0,0.0
1913,1913,0.0,0.0,0.0,0.0,0.0,0.0
1914,1914,0.0,0.0,0.0,0.0,0.0,0.0
1915,1915,0.0,0.0,0.0,0.0,0.0,0.0
1916,1916,0.0,0.0,0.0,0.0,0.0,0.0
1917,1917,0.0,0.0,0.0,0.0,0.0,0.0
1918,1918,0.0,0.0,0.0,0.0,0.0,0.0
1919,1919,0.0,0.0,0.0,0.0,0.0,0.0
1920,1920,0.0,0.0,0.0,0.0,0.0,0.0
1921,1921,0.0,0.0,0.0,0.0,0.0,0.0
1922,1922,0.0,0.0,0.0,0.0,0.0,0.0
1923,1923,0.0,0.0,0.0,0.0,0.0,0.0
1924,1924,0.0,0.0,0.0,0.0,0.0,0.0
1925,1925,0.0,0.0,0.0,0.0,0.0,0.0
1926,1926,0.0,0.0,0.0,0.0,0.0,0.0
1927,1927,0.0,0.0,0.0,0.0,0.0,0.0
1928,1928,0.0,0.0,0.0,0.0,0.0,0.0
1929,1929,0.0,0.0,0.0,0.0,0.0,0.0
1930,1930,0.0,0.0,0.0,0.0,0.0,0.0
1931,1931,0.0,0.0,0.0,0.0,0.0,0.0
1932,1932,0.0,0.0,0.0,0.0,0.0,0.0
1933,1933,0.0,0.0,0.0,0.0,0.0,0.0
1934,1934,0.0,0.0,0.0,0.0,0.0,0.0
1935,1935,0.0,0.0,0.0,0.0,0.0,0.0
1936,1936,0.0,0.0,0.0,0.0,0.0,0.0
1937,1937,0.0,0.0,0.0,0.0,0.0,0.0
1938,1938,0.0,0.0,0.0,0.0,0.0,0.0
1939,1939,0.0,0.0,0.0,0.0,0.0,0.0
1940,1940,0.0,0.0,0.0,0.0,0.0,0.0
1941,1941,0.0,0.0,0.0,0.0,0.0,0.0
1942,1942,0.0,0.0,0.0,0.0,0.0,0.0
1943,1943,0.0,0.0,0.0,0.0,0.0,0.0
1944,1944,0.0,0.0,0.0,0.0,0.0,0.0
1945,1945,0.0,0.0,0.0,0.0,0.0,0.0
1946,1946,0.0,0.0,0.0,0.0,0.0,0.0
1947,1947,0.0,0.0,0.0,0.0,0.0,0.0
1948,1948,0.0,0.0,0.0,0.0,0.0,0.0
1949,1949,0.0,0.0,0.0,0.0,0.0,0.0
1950,1950,0.0,0.0,0.0,0.0,0.0,0.0
1951,1951,0.0,0.0,0.0,0.0,0.0,0.0
1952,1952,0.0,0.0,0.0,0.0,0.0,0.0
1953,1953,0.0,0.0,0.0,0.0,0.0,0.0
1954,1954,0.0,0.0,0.0,0.0,0.0,0.0
1955,1955,0.0,0.0,0.0,0.0,0.0,0.0
1956,1956,0.0,0.0,0.0,0.0,0.0,0.0
1957,1957,0.0,0.0,0.0,0.0,0.0,0.0
1958,1958,0.0,0.0,0.0,0.0,0.0,0.0
1959,1959,0.0,0.0,0.0,0.0,0.0,0.0
1960,1960,0.0,0.0,0.0,0.0,0.0,0.0
1961,1961,0.0,0.0,0.0,0.0,0.0,0.0
1962,1962,0.0,0.0,0.0,0.0,0.0,0.0
1963,1963,0.0,0.0,0.0,0.0,0.0,0.0
1964,1964,0.0,0.0,0.0,0.0,0.0,0.0
1965,1965,0.0,0.0,0.0,0.0,0.0,0.0
1966,1966,0.0,0.0,0.0,0.0,0.0,0.0
1967,1967,0.0,0.0,0.0,0.0,0.0,0.0
1968,1968,0.0,0.0,0.0,0.0,0.0,0.0
1969,1969,0.0,0.0,0.0,0.0,0.0,0.0
1970,1970,0.0,0.0,0.0,0.0,0.0,0.0
1971,1971,0.0,0.0,0.0,0.0,0.0,0.0
1972,1972,0.0,0.0,0.0,0.0,0.0,0.0
1973,1973,0.0,0.0,0.0,0.0,0.0,0.0
1974,1974,0.0,0.0,0.0,0.0,0.0,0.0
1975,1975,0.0,0.0,0.0,0.0,0.0,0.0
1976,1976,0.0,0.0,0.0,0.0,0.0,0.0
1977,1977,0.0,0.0,0.0,0.0,0.0,0.0
1978,1978,0.0,0.0,0.0,0.0,0.0,0.0
1979,1979,0.0,0.0,0.0,0.0,0.0,0.0
1980,1980,0.0,0.0,0.0,0.0,0.0,0.0
1981,1981,0.0,0.0,0.0,0.0,0.0,0.0
1982,1982,0.0,0.0,0.0,0.0,0.0,0.0
1983,1983,0.0,0.0,0.0,0.0,0.0,0.0
1984,1984,0.0,0.0,0.0,0.0,0.0,0.0
1985,1985,0.0,0.0,0.0,0.0,0.0,0.0
1986,1986,0.0,0.0,0.0,0.0,0.0,0.0
1987,1987,0.0,0.0,0.0,0.0,0.0,0.0
1988,1988,0.0,0.0,0.0,0.0,0.0,0.0
1989,1989,0.0,0.0,0.0,0.0,0.0,0.0
1990,1990,0.0,0.0,0.0,0.0,0.0,0.0
1991,1991,0.0,0.0,0.0,0.0,0.0,0.0
1992,1992,0.0,0.0,0.0,0.0,0.0,0.0
1993,1993,0.0,0.0,0.0,0.0,0.0,0.0
1994,1994,0.0,0.0,0.0,0.0,0.0,0.0
1995,1995,0.0,0.0,0.0,0.0,0.0,0.0
1996,1996,0.0,0.0,0.0,0.0,0.0,0.0
1997,1997,0.0,0.0,0.0,0.0,0.0,0.0
1998,1998,0.0,0.0,0.0,0.0,0.0,0.0
1999,1999,0.0,0.0,0.0,0.0,0.0,0.0
2000,2000,0.0,0.0,0.0,0.0,0.0,0.0
2001,2001,0.0,0.0,0.0,0.0,0.0,0.0
2002,2002,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003,0.0,0.0,0.0,0.0,0.0,0.0
2004,2004,0.0,0.0,0.0,0.0,0.0,0.0
2005,2005,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006,0.0,0.0,0.0,0.0,0.0,0.0
2007,2007,0.0,0.0,0.0,0.0,0.0,0.0
2008,2008,0.0,0.0,0.0,0.0,0.0,0.0
2009,2009,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010,0.0,0.0,0.0,0.0,0.0,0.0
2011,2011,0.0,0.0,0.0,0.0,0.0,0.0
2012,2012,0.0,0.0,0.0,0.0,0.0,0.0
2013,2013,0.0,0.0,0.0,0.0,0.0,0.0
2014,2014,0.0,0.0,0.0,0.0,0.0,0.0
2015,2015,0.0,0.0,0.0,0.0,0.0,0.0
2016,2016,0.0,0.0,0.0,0.0,0.0,0.0
2017,2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,2018,0.0,0.0,0.0,0.0,0.0,0.0
2019,2019,0.0,0.0,0.0,0.0,0.0,0.0
2020,2020,0.0,0.0,0.0,0.0,0.0,0.0
2021,2021,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,0.0,0.0,0.0,0.0,0.0,0.0
2026,2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,2027,0.0,0.0,0.0,0.0,0.0,0.0
2028,2028,0.0,0.0,0.0,0.0,0.0,0.0
2029,2029,0.0,0.0,0.0,0.0,0.0,0.0
2030,2030,0.0,0.0,0.0,0.0,0.0,0.0
2031,2031,0.0,0.0,0.0,0.0,0.0,0.0
2032,2032,0.0,0.0,0.0,0.0,0.0,0.0
2033,2033,0.0,0.0,0.0,0.0,0.0,0.0
2034,2034,0.0,0.0,0.0,0.0,0.0,0.0
2035,2035,0.0,0.0,0.0,0.0,0.0,0.0
2036,2036,0.0,0.0,0.0,0.0,0.0,0.0
2037,2037,0.0,0.0,0.0,0.0,0.0,0.0
2038,2038,0.0,0.0,0.0,0.0,0.0,0.0
2039,2039,0.0,0.0,0.0,0.0,0.0,0.0
2040,2040,0.0,0.0,0.0,0.0,0.0,0.0
2041,2041,0.0,0.0,0.0,0.0,0.0,0.0
2042,2042,0.0,0.0,0.0,0.0,0.0,0.0
2043,2043,0.0,0.0,0.0,0.0,0.0,0.0
2044,2044,0.0,0.0,0.0,0.0,0.0,0.0
2045,2045,0.0,0.0,0.0,0.0,0.0,0.0
2046,2046,0.0,0.0,0.0,0.0,0.0,0.0
2047,2047,0.0,0.0,0.0,0.0,0.0,0.0
2048,2048,0.0,0.0,0.0,0.0,0.0,0.0
2049,2049,0.0,0.0,0.0,0.0,0.0,0.0
2050,2050,0.0,0.0,0.0,0.0,0.0,0.0
2051,2051,0.0,0.0,0.0,0.0,0.0,0.0
2052,2052,0.0,0.0,0.0,0.0,0.0,0.0
2053,2053,0.0,0.0,0.0,0.0,0.0,0.0
2054,2054,0.0,0.0,0.0,0.0,0.0,0.0
2055,2055,0.0,0.0,0.0,0.0,0.0,0.0
